frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
46,beacon,14.7134,0.123958,0,0,0,0,0,0,cpu-fallback,100,84,84,180,26,147456,180,0,0,1742,133,1.4882,1,1,0.0111111,0.000739986,31.3078,0.804559,0.988235,2.40836e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
47,beacon,15.4693,0.134667,0,0,0,0,0,0,cpu-fallback,100,83,83,180,26,147456,180,0,0,1741,133,1.48491,0,0,0,0.000698677,31.5572,0.809759,0.988235,4.13091e-05,122,85,5,302120,0,0,161,0,5,0,vulkan_cpu_measurements
48,beacon,18.9466,0.129791,0,0,0,0,0,0,cpu-fallback,100,88,88,180,26,147456,180,0,0,1737,139,1.57491,0,0,0,0.000650207,31.8695,0.824382,0.988235,4.84705e-05,122,90,0,328564,26444,18.7783,115,0,0,0,vulkan_cpu_measurements
49,beacon,15.6122,0.134041,0,0,0,0,0,0,cpu-fallback,100,88,88,180,26,147456,180,0,0,1738,140,1.57399,0,0,0,0.000659392,31.8086,0.825303,0.988235,9.18501e-06,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
50,beacon,16.8719,0.125167,0,0,0,0,0,0,cpu-fallback,100,88,88,179,26,147456,179,0,0,1740,137,1.56317,0,1,0.00558659,0.000693264,31.591,0.823163,0.988235,3.38723e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
51,beacon,15.0085,0.128125,0,0,0,0,0,0,cpu-fallback,100,88,88,179,27,147456,179,0,0,1737,137,1.59966,0,0,0,0.000704493,31.5212,0.825561,0.988235,1.12291e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
52,beacon,16.2344,0.148292,0,0,0,0,0,0,cpu-fallback,100,88,88,179,27,147456,179,0,0,1735,139,1.63172,0,0,0,0.000678976,31.6815,0.828307,0.988235,2.55174e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
53,beacon,16.1806,0.133542,0,0,0,0,0,0,cpu-fallback,100,88,88,179,26,147456,179,0,0,1737,133,1.54272,0,0,0,0.000681869,31.663,0.828928,0.976471,2.89385e-06,122,90,5,328564,0,0,161,0,5,0,vulkan_cpu_measurements
54,beacon,20.2434,0.128417,0,0,0,0,0,0,cpu-fallback,100,93,93,179,26,147456,179,0,0,1726,139,1.63629,0,0,0,0.000636975,31.9588,0.843989,0.988235,4.48949e-05,122,95,0,339832,11268,20.5517,121,0,0,0,vulkan_cpu_measurements
55,beacon,15.4665,0.13125,0,0,0,0,0,0,cpu-fallback,100,93,93,179,26,147456,179,0,0,1723,138,1.60215,0,0,0,0.000639769,31.9398,0.836027,0.988235,2.79464e-06,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
56,beacon,15.1365,0.138542,0,0,0,0,0,0,cpu-fallback,100,93,93,179,26,147456,179,0,0,1727,140,1.58679,0,0,0,0.000640426,31.9353,0.826561,0.988235,6.56954e-07,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
57,beacon,15.8909,0.129167,0,0,0,0,0,0,cpu-fallback,100,93,93,179,26,147456,179,0,0,1730,144,1.60148,0,0,0,0.000639571,31.9411,0.819109,0.988235,8.55618e-07,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
58,beacon,15.6915,0.12725,0,0,0,0,0,0,cpu-fallback,100,93,93,179,26,147456,179,0,0,1721,149,1.6624,0,0,0,0.000677809,31.6889,0.80549,0.988235,3.82389e-05,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
59,beacon,16.4009,0.139584,0,0,0,0,0,0,cpu-fallback,100,93,93,179,25,147456,179,0,0,1711,150,1.69665,0,0,0,0.000708384,31.4973,0.797081,0.988235,3.0575e-05,123,95,5,339832,0,0,163,0,5,0,vulkan_cpu_measurements
