frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
40,gpu-clustered,15.3388,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00019009,37.2104,0.935137,0.960784,7.79971e-07,135,96,0,513340,0,0,134,0,0,0,vulkan_cpu_measurements
41,gpu-clustered,15.1068,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000202282,36.9404,0.935503,0.960784,1.21922e-05,135,96,8,513340,0,0,175,0,8,0,vulkan_cpu_measurements
42,gpu-clustered,20.6138,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000192502,37.1556,0.938706,0.960784,9.77978e-06,135,104,0,530100,16760,20.6181,134,0,0,0,vulkan_cpu_measurements
43,gpu-clustered,16.5287,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000181401,37.4136,0.937335,0.956863,1.11013e-05,135,104,0,530100,0,0,142,0,0,0,vulkan_cpu_measurements
44,gpu-clustered,14.7631,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000162823,37.8828,0.941866,0.886275,1.85778e-05,135,104,0,530100,0,0,142,0,0,0,vulkan_cpu_measurements
45,gpu-clustered,14.7355,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000158623,37.9963,0.9418,0.917647,4.20037e-06,135,104,0,530100,0,0,142,0,0,0,vulkan_cpu_measurements
46,gpu-clustered,15.8815,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000166985,37.7732,0.93751,0.92549,8.36195e-06,135,104,0,530100,0,0,142,0,0,0,vulkan_cpu_measurements
47,gpu-clustered,15.8335,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000170532,37.6819,0.935303,0.952941,3.54758e-06,135,104,8,530100,0,0,175,0,8,0,vulkan_cpu_measurements
48,gpu-clustered,22.1394,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000139768,38.5459,0.948037,0.960784,3.07644e-05,135,112,0,564936,34836,20.9598,142,0,0,0,vulkan_cpu_measurements
49,gpu-clustered,14.9403,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000142316,38.4675,0.946574,0.956863,2.54805e-06,135,112,0,564936,0,0,151,0,0,0,vulkan_cpu_measurements
50,gpu-clustered,14.7484,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000144851,38.3908,0.945207,0.956863,2.53566e-06,135,112,0,564936,0,0,151,0,0,0,vulkan_cpu_measurements
51,gpu-clustered,16.1895,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000165389,37.8149,0.937713,0.952941,2.05379e-05,135,112,0,564936,0,0,151,0,0,0,vulkan_cpu_measurements
52,gpu-clustered,15.6106,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000195183,37.0956,0.929288,0.960784,2.97932e-05,135,112,0,564936,0,0,151,0,0,0,vulkan_cpu_measurements
53,gpu-clustered,15.6044,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000215722,36.6611,0.926711,0.960784,2.05395e-05,135,112,8,564936,0,0,175,0,8,0,vulkan_cpu_measurements
54,gpu-clustered,19.9035,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000205801,36.8655,0.929583,0.960784,9.92106e-06,135,120,0,593432,28496,20.246,151,0,0,0,vulkan_cpu_measurements
55,gpu-clustered,15.0731,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00014301,38.4463,0.947123,0.960784,6.27907e-05,135,120,0,593432,0,0,159,0,0,0,vulkan_cpu_measurements
56,gpu-clustered,15.6384,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000126564,38.9769,0.948738,0.92549,1.64468e-05,135,120,0,593432,0,0,159,0,0,0,vulkan_cpu_measurements
57,gpu-clustered,15.9951,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000129789,38.8676,0.947854,0.92549,3.22539e-06,135,120,0,593432,0,0,159,0,0,0,vulkan_cpu_measurements
58,gpu-clustered,15.9815,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000136195,38.6584,0.94857,0.917647,6.40581e-06,135,120,0,593432,0,0,159,0,0,0,vulkan_cpu_measurements
59,gpu-clustered,15.6164,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000142298,38.468,0.948023,0.988235,6.10353e-06,135,120,8,593432,0,0,175,0,8,0,vulkan_cpu_measurements
